,Price
1187,14.0
6282,30.0
405,59.0
222,50.0
10674,65.0
5215,24.0
2786,50.0
10309,158.0
7363,52.0
7571,49.0
11990,17.0
5953,60.0
1422,35.0
7585,150.0
868,49.0
11682,42.0
12550,29.0
4209,120.0
5359,70.0
265,45.0
9529,25.0
8131,65.0
7346,50.0
9235,30.0
5703,45.0
10239,46.0
239,65.0
9705,75.0
5758,40.0
11135,80.0
11041,49.0
6054,60.0
515,79.0
8005,40.0
2818,35.0
3422,55.0
1956,34.0
14913,50.0
11527,50.0
8876,39.0
10161,30.0
1484,69.0
6519,70.0
4997,40.0
3522,50.0
4152,49.0
1229,49.0
12706,41.0
5396,55.0
9539,48.0
11453,39.0
9744,76.0
5255,30.0
8718,20.0
1572,29.0
10030,39.0
2616,41.0
7272,70.0
14300,65.0
1685,50.0
4097,70.0
12288,85.0
11097,35.0
1273,45.0
9458,24.0
9845,59.0
1855,150.0
6317,35.0
10666,38.0
2040,20.0
6935,85.0
8868,55.0
201,48.0
2160,120.0
2268,23.0
6489,98.0
13925,56.0
931,80.0
6255,70.0
6594,46.0
10060,45.0
3265,30.0
15,50.0
259,40.0
13188,20.0
4559,40.0
7503,95.0
10197,145.0
1747,80.0
7088,33.0
2689,26.0
1055,30.0
10361,86.0
8639,55.0
11234,50.0
9599,40.0
14979,30.0
6206,40.0
14073,20.0
670,30.0
10711,45.0
1333,70.0
2042,28.0
1138,40.0
13421,40.0
12362,65.0
10077,199.0
6098,64.0
6915,30.0
10622,85.0
15525,250.0
6707,40.0
14363,55.0
14619,99.0
11072,100.0
14482,90.0
2706,38.0
4755,35.0
12540,20.0
908,40.0
690,30.0
6211,90.0
7602,75.0
3679,110.0
8696,35.0
2925,23.0
9771,70.0
8383,85.0
6679,50.0
7358,70.0
13412,50.0
3723,45.0
2316,39.0
7256,69.0
7583,40.0
428,120.0
15587,40.0
14138,81.0
8319,34.0
8099,100.0
3439,140.0
707,30.0
7964,105.0
12229,80.0
12448,22.0
2797,45.0
6743,109.0
9788,55.0
15032,89.0
496,55.0
7846,40.0
12187,54.0
2504,40.0
3673,31.0
7829,32.0
2768,60.0
5274,34.0
13497,18.0
2834,15.0
11780,30.0
2475,35.0
14941,37.0
13325,55.0
9250,35.0
1121,105.0
10641,64.0
14211,35.0
8971,31.0
13518,75.0
14916,89.0
13641,65.0
4752,232.0
6781,25.0
8791,48.0
11010,38.0
6210,25.0
963,80.0
2583,20.0
4580,30.0
7617,70.0
200,25.0
13440,50.0
6393,45.0
13398,35.0
681,80.0
8130,195.0
14252,92.0
12751,79.0
755,40.0
5955,89.0
5019,25.0
3315,18.0
13651,150.0
12367,79.0
8194,12.0
4784,50.0
8891,55.0
12597,70.0
14338,42.0
10569,30.0
5122,50.0
10769,18.0
13238,35.0
8635,40.0
6704,45.0
9088,188.0
1282,19.0
9175,28.0
5554,55.0
8550,43.0
93,17.0
6753,20.0
2355,50.0
1644,28.0
9423,30.0
8923,48.0
3927,149.0
10343,24.0
1584,50.0
11752,24.0
1193,69.0
15211,68.0
7417,120.0
11964,43.0
2681,100.0
13121,30.0
14457,55.0
10453,150.0
5615,22.0
4563,24.0
1646,99.0
15636,35.0
13758,35.0
5967,60.0
8998,160.0
15009,34.0
9836,40.0
1877,37.0
8154,26.0
11960,70.0
153,40.0
637,85.0
15190,50.0
236,48.0
8661,20.0
6891,90.0
8793,25.0
1676,50.0
9843,60.0
2003,37.0
8091,68.0
9387,40.0
2604,40.0
3868,69.0
10665,45.0
13636,25.0
15559,60.0
2548,30.0
1830,20.0
3343,36.0
2596,60.0
6102,30.0
8451,69.0
6593,30.0
10980,50.0
14382,80.0
6778,53.0
5046,80.0
1860,120.0
9222,50.0
1697,98.0
2802,69.0
10236,79.0
8545,50.0
11458,19.0
11428,35.0
5508,25.0
10652,149.0
3093,45.0
7842,84.0
13459,35.0
6161,15.0
2715,100.0
1248,16.0
10550,70.0
12750,40.0
3457,44.0
10356,45.0
5167,25.0
12444,34.0
12355,35.0
10156,23.0
11078,50.0
1301,45.0
11886,40.0
7331,55.0
14437,250.0
9974,46.0
13349,30.0
8510,45.0
3922,90.0
8279,30.0
1051,75.0
9434,45.0
3380,79.0
5588,20.0
535,75.0
5643,42.0
3526,72.0
7222,59.0
12575,35.0
1061,58.0
5965,38.0
13818,55.0
14339,53.0
11722,220.0
12123,25.0
8818,22.0
3058,49.0
3694,75.0
1771,100.0
10789,35.0
4639,70.0
6053,18.0
8625,69.0
15393,64.0
202,79.0
1789,34.0
5679,30.0
10795,35.0
208,80.0
6093,70.0
6245,75.0
15149,70.0
10049,35.0
102,38.0
13842,50.0
3096,25.0
2620,110.0
10386,23.0
187,32.0
8356,37.0
14155,85.0
8758,95.0
4363,130.0
674,65.0
11060,49.0
1712,36.0
5722,54.0
5625,32.0
10079,65.0
11885,47.0
7395,79.0
11962,25.0
15642,20.0
15609,40.0
6106,28.0
10582,30.0
15628,50.0
9287,59.0
15453,46.0
12697,61.0
12940,45.0
4886,40.0
5230,16.0
6035,60.0
3731,50.0
2432,33.0
2217,20.0
14413,73.0
2222,65.0
7834,79.0
12831,80.0
7717,35.0
728,65.0
5206,35.0
8382,45.0
9119,75.0
12348,40.0
533,62.0
14097,59.0
8665,19.0
7812,85.0
8036,69.0
6674,55.0
13701,20.0
2553,29.0
691,99.0
4988,150.0
6271,40.0
12319,60.0
9469,79.0
5108,35.0
8335,50.0
13306,65.0
9113,44.0
3191,95.0
6993,99.0
13908,26.0
5671,105.0
7997,89.0
7673,32.0
9156,28.0
8240,60.0
4143,90.0
70,30.0
8108,75.0
1535,35.0
3382,58.0
12469,21.0
14684,20.0
3527,23.0
2266,37.0
1314,49.0
8156,105.0
4818,60.0
2148,19.0
10373,30.0
10836,70.0
5900,59.0
4538,120.0
2183,23.0
3769,30.0
3041,20.0
3375,80.0
7774,35.0
9612,70.0
937,44.0
122,75.0
2331,26.0
556,230.0
6572,40.0
899,36.0
275,28.0
4722,88.0
13613,49.0
15232,75.0
3389,36.0
6013,80.0
10054,25.0
6982,50.0
6427,35.0
6508,30.0
395,37.0
7991,69.0
14698,55.0
7500,100.0
1287,45.0
14397,28.0
12056,50.0
7714,130.0
11992,55.0
1285,49.0
1580,70.0
15126,20.0
7201,50.0
3330,81.0
15300,55.0
14676,26.0
1696,45.0
14161,120.0
7094,95.0
9528,55.0
7342,52.0
11700,28.0
928,180.0
